ds,y_true,y_pred,residual
2022-06-01,638.0500000000001,769.7436666666649,-131.69366666666485
2022-06-02,594.9,770.5279999999993,-175.62799999999936
2022-06-03,734.9,836.8696666666667,-101.96966666666674
2022-06-04,1106.35,979.2661666666665,127.08383333333336
2022-06-05,1756.1,1589.9373333333342,166.1626666666657
2022-06-06,1682.25,1093.1393333333322,589.1106666666678
2022-06-07,630.2,1059.0300000000004,-428.8300000000004
2022-06-08,579.35,856.068333333331,-276.718333333331
2022-06-09,602.3,893.8049999999988,-291.50499999999886
2022-06-10,709.0,921.9726666666648,-212.97266666666485
2022-06-11,1027.7,972.031766666667,55.66823333333309
2022-06-12,1168.3,1498.4995000000015,-330.19950000000154
2022-06-13,710.8,1028.6541666666678,-317.8541666666679
2022-06-14,703.25,675.9570000000006,27.292999999999438
2022-06-15,620.6,668.0078333333339,-47.40783333333388
2022-06-16,606.85,650.2405000000014,-43.39050000000134
2022-06-17,640.3,700.4434666666674,-60.14346666666745
2022-06-18,1027.05,942.0913666666664,84.95863333333352
2022-06-19,1523.0,1457.3626666666707,65.63733333332925
2022-06-20,690.8,711.8510000000001,-21.05100000000016
2022-06-21,616.8000000000001,672.3596666666672,-55.55966666666711
2022-06-22,517.5,656.0445000000017,-138.54450000000168
2022-06-23,614.3000000000001,632.7765000000004,-18.47650000000033
2022-06-24,801.9,706.3441666666665,95.55583333333345
2022-06-25,964.45,988.4585999999998,-24.008599999999774
2022-06-26,1263.2,1343.6470666666698,-80.4470666666698
2022-06-27,770.25,691.5005000000014,78.74949999999865
2022-06-28,607.1,686.1923333333342,-79.09233333333418
2022-06-29,609.15,651.6383333333338,-42.4883333333338
2022-06-30,769.6,678.9249333333339,90.67506666666611
2022-07-01,836.05,716.3957000000009,119.65429999999901
2022-07-02,955.85,974.9036666666666,-19.053666666666572
2022-07-03,1746.05,1489.3618333333352,256.68816666666476
2022-07-04,875.65,929.8373333333332,-54.187333333333186
2022-07-05,862.2,878.3983333333312,-16.198333333331107
2022-07-06,753.25,870.4763333333312,-117.22633333333124
2022-07-07,960.95,854.8649999999991,106.08500000000095
2022-07-08,952.2,979.8248333333325,-27.624833333332504
2022-07-09,1355.65,1201.0934999999997,154.55650000000037
2022-07-10,1948.75,1682.5518333333328,266.19816666666725
